Country,Dimension ,Indicator,Assessment,Criteria ,Explanation ,Source ,URL ,size
Bangladesh,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Quarterly Debt Bulletin, September 2021",https://mof.portal.gov.bd/sites/default/files/files/mof.portal.gov.bd/page/157830c6_9eaa_4ce7_be70_72b67c0f06e5/Quarter%20Debt%20Bulletin%202021-09.pdf,https://mof.portal.gov.bd/sites/default/files/files/mof.portal.gov.bd/page/157830c6_9eaa_4ce7_be70_72b67c0f06e5/Quarter%20Debt%20Bulletin%202021-09.pdf,1
Ethiopia,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Sector Debt Statistical Bulletin, August 2021",https://www.mofed.gov.et/media/filer_public/ee/64/ee64e21c-9b90-481d-ae05-2b9ba1684f65/public_sector_debt_statistical_bulletin_no_38_2016-17__-_2020-21.pdf,https://www.mofed.gov.et/media/filer_public/ee/64/ee64e21c-9b90-481d-ae05-2b9ba1684f65/public_sector_debt_statistical_bulletin_no_38_2016-17__-_2020-21.pdf,1
Guinea,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Sector Debt Statistical Bulletin, 2021-Q2",https://mef.gov.gn/images/DOCS/BULLETIN-STATISTIQUE-DEUXIEME-TRIMESTRE-2021.pdf,https://mef.gov.gn/images/DOCS/BULLETIN-STATISTIQUE-DEUXIEME-TRIMESTRE-2021.pdf,1
Burkina Faso,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Statistical Debt Bulletin, 2021-Q2",https://www.dgb.gov.bf/index.php?option=com_edocman&view=document&id=1760,https://www.dgb.gov.bf/index.php?option=com_edocman&view=document&id=1760,1
Cambodia,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Statistical Bulletin, 2021-S1",https://gdicdm.mef.gov.kh/en/2021/08/17/10358.html,https://gdicdm.mef.gov.kh/en/2021/08/17/10358.html,1
Benin,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Statistical Bulletin, 2021-Q1",https://caa.bj/wp-content/uploads/2021/06/Bulletin-Statistique-de-la-Dette-publique_T1_2021_fr_Version-Finale_pr..pdf,https://caa.bj/wp-content/uploads/2021/06/Bulletin-Statistique-de-la-Dette-publique_T1_2021_fr_Version-Finale_pr..pdf,1
Bhutan,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Situation Report, June 2021",https://www.mof.gov.bt/wp-content/uploads/2021/07/PublicDebtReport2907202101.pdf,https://www.mof.gov.bt/wp-content/uploads/2021/07/PublicDebtReport2907202101.pdf,1
Nicaragua,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Report, Q1-2021",https://www.bcn.gob.ni/publicaciones/deuda_publica,https://www.bcn.gob.ni/publicaciones/deuda_publica,1
Somalia,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Report, 2021-Q2",https://mof.gov.so/publication/quartley-public-debt-bulletin-quarter-ii-2021,https://mof.gov.so/publication/quartley-public-debt-bulletin-quarter-ii-2021,1
Ghana,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Report, 2020",https://www.mofep.gov.gh/publications/economic-reports,https://www.mofep.gov.gh/publications/economic-reports,1
Mozambique,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Report, 2020",https://www.mef.gov.mz,https://www.mef.gov.mz,1
Guyana,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Report, 2020",https://finance.gov.gy/public-debt-annual-report-2020-the-cooperative-republic-of-guyana,https://finance.gov.gy/public-debt-annual-report-2020-the-cooperative-republic-of-guyana,1
Niger,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Report, 2020",http://www.finances.gouv.ne/index.php/actualites/publications-du-ministere/file/736-rapport-analytique-sur-la-dette-publique-au-titre-de-l-annee-2020,http://www.finances.gouv.ne/index.php/actualites/publications-du-ministere/file/736-rapport-analytique-sur-la-dette-publique-au-titre-de-l-annee-2020,1
Tuvalu,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Bulletin, September 2021",https://mfed.tv/wp-content/uploads/2021/10/TuvaluPublicDebt_Sept2021_Bulletin_FINAL.pdf,https://mfed.tv/wp-content/uploads/2021/10/TuvaluPublicDebt_Sept2021_Bulletin_FINAL.pdf,1
Samoa,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Bulletin, June 2021",https://www.mof.gov.ws/services/aid-coordination-debt-management/quarterly-debt-bulletin/,https://www.mof.gov.ws/services/aid-coordination-debt-management/quarterly-debt-bulletin/,1
Sierra Leone,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Bulletin, FY 2020",https://mof.gov.sl/documents/public-debt-bullletin-fy-2020/,https://mof.gov.sl/documents/public-debt-bullletin-fy-2020/,1
Zimbabwe,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Bulletin, 2020 FY",http://www.zimtreasury.gov.zw/index.php?option=com_phocadownload&view=category&id=63:debt-management&Itemid=759,http://www.zimtreasury.gov.zw/index.php?option=com_phocadownload&view=category&id=63:debt-management&Itemid=759,1
Guinea-Bissau,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Bulletin, 2019-2020",https://www.mef.gw/publicacoes/outras/39-boletim-da-divida-publica/file,https://www.mef.gw/publicacoes/outras/39-boletim-da-divida-publica/file,1
Cameroon,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Monthly Public Debt Survey, July 2021",https://www.caa.cm/images/publications/dette-publique/Conjoncture_mensuelle_dette_publique_Cameroun_N-06%20Juin%202021_CAA_final_290721_tr.pdf,https://www.caa.cm/images/publications/dette-publique/Conjoncture_mensuelle_dette_publique_Cameroun_N-06%20Juin%202021_CAA_final_290721_tr.pdf,1
Malawi,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Mid-Year Public Debt Report, 2020/2021",https://www.finance.gov.mw/index.php/our-documents/debt-aid?limitstart=0,https://www.finance.gov.mw/index.php/our-documents/debt-aid?limitstart=0,1
Zambia,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Government Debt Portfolio Review, 2020 Q4",https://www.mof.gov.zm/?wpfb_dl=352,https://www.mof.gov.zm/?wpfb_dl=352,1
Nepal,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Economic Survey, 2020-2021",https://www.mof.gov.np/uploads/document/file/1633341980_Economic%20Survey%20(Engslish)%202020-21.pdf,https://www.mof.gov.np/uploads/document/file/1633341980_Economic%20Survey%20(Engslish)%202020-21.pdf,1
Lao PDR,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Debt Statistics Bulletin, 2020",https://www.mof.gov.la/index.php/en/publications-and-statistics/,https://www.mof.gov.la/index.php/en/publications-and-statistics/,1
Chad,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Debt Statistical Bulletin, December 2020",https://finances.gouv.td/index.php/component/k2/item/627-bulletins-statistiques-de-la-dette-n-4-2020,https://finances.gouv.td/index.php/component/k2/item/627-bulletins-statistiques-de-la-dette-n-4-2020,1
"Congo, Dem. Rep.",1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Debt Statistical Bulletin, 2021-Q2",https://dgdp-rdc.org/bulletin-trimestriel-de-la-dette-publique-deuxieme-trimestre-2021/,https://dgdp-rdc.org/bulletin-trimestriel-de-la-dette-publique-deuxieme-trimestre-2021/,1
Solomon Islands,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Debt Statistical Bulletin, 2021-Q1",https://solomons.gov.sb/ministry-of-finance-and-treasury/debt-management-documents/,https://solomons.gov.sb/ministry-of-finance-and-treasury/debt-management-documents/,1
Central African Republic,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Debt Statistical Bulletin, 2020-S2",https://www.finances.gouv.cf/sites/default/files/2021-03/Reporting%20de%20la%20dette%202eme%20Semestre%202020%20Achevé%20et%20validé%2010%20Mars%202021_0.pdf,https://www.finances.gouv.cf/sites/default/files/2021-03/Reporting%20de%20la%20dette%202eme%20Semestre%202020%20Achevé%20et%20validé%2010%20Mars%202021_0.pdf,1
Rwanda,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Debt Statistical Buletin, September 2021",https://www.minecofin.gov.rw/1/publications/reports?tx_filelist_filelist%5Baction%5D=list&tx_filelist_filelist%5Bcontroller%5D=File&tx_filelist_filelist%5Bpath%5D=%2Fuser_upload%2FMinecofin%2FPublications%2FREPORTS%2FChief_Economist%2FDebt_Management%2F&cHash=c740c1b388f07e75324a50971292037b,https://www.minecofin.gov.rw/1/publications/reports?tx_filelist_filelist%5Baction%5D=list&tx_filelist_filelist%5Bcontroller%5D=File&tx_filelist_filelist%5Bpath%5D=%2Fuser_upload%2FMinecofin%2FPublications%2FREPORTS%2FChief_Economist%2FDebt_Management%2F&cHash=c740c1b388f07e75324a50971292037b,1
Fiji,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Debt Report, 2020/2021",https://www.economy.gov.fj/images/Resources/DebtReport/2020-2021_Annual_Debt_Report.pdf,https://www.economy.gov.fj/images/Resources/DebtReport/2020-2021_Annual_Debt_Report.pdf,1
Grenada,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Debt Report, 2020",https://www.finance.gd/docs/AnnualBudgetReport2020.pdf,https://www.finance.gd/docs/AnnualBudgetReport2020.pdf,1
St. Lucia,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Debt Portfolio Report, 2020",https://www.finance.gov.lc/programmes/view/129,https://www.finance.gov.lc/programmes/view/129,1
Liberia,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Debt Management Report, 2020/2021-Q4",https://www.mfdp.gov.lr/index.php/main-menu-reports/mm-em/mm-em-db,https://www.mfdp.gov.lr/index.php/main-menu-reports/mm-em/mm-em-db,1
Uzbekistan,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Debt data published on the State Statistics Committee's website,https://nsdp.stat.uz,https://nsdp.stat.uz,1
Kenya,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Debt Bulletin, May 2021",https://www.treasury.go.ke/monthly-bulletins/,https://www.treasury.go.ke/monthly-bulletins/,1
Kosovo,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Bulletin Debt Bulletin, 2020",https://mf.rks-gov.net/desk/inc/media/46BF6C74-32C4-4483-A149-6391F1E06F0D.pdf,https://mf.rks-gov.net/desk/inc/media/46BF6C74-32C4-4483-A149-6391F1E06F0D.pdf,1
Tonga,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Budget Statement, 2020-2021.  The portfolio analysis in the current DMS presents pre-cutoff date debt; and annual and quarterly debt bulletins are discontinued (albeit a reference to the production of debt management reports is made in the MoF's Corporate Plans (page 18)",4 links: http://www.finance.gov.to/sites/default/files/2021-05/Budget%20Statement%202021-22%20final%20to%20LA%20english_0.pdf AND http://www.finance.gov.to/sites/default/files/2021-05/MTDS%202021%20-%202025%20May%202021.pdf AND http://www.finance.gov.to/index.php/debt AND http://www.finance.gov.to/sites/default/files/2020-09/Corporate%20Plan%202021%2023%20Final_English%20Version.pdf,http://www.finance.gov.to/sites/default/files/2021-05/Budget%20Statement%202021-22%20final%20to%20LA%20english_0.pdf,1
Mauritania,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Annual Report of the CB, 2020",https://www.bcm.mr/IMG/pdf/rapport_annuel_2020.pdf,https://www.bcm.mr/IMG/pdf/rapport_annuel_2020.pdf,1
"Congo, Rep.",1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Annual Public Debt Report, 2020",https://www.finances.gouv.cg/sites/default/files/documents/rapport%20dette%20publique%202020.pdf,https://www.finances.gouv.cg/sites/default/files/documents/rapport%20dette%20publique%202020.pdf,1
Togo,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Annual Public Debt Report, 2020",http://www.togoreforme.com/fr/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=84,http://www.togoreforme.com/fr/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=84,1
Pakistan,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Annual Debt Review & Public Debt Bulletin, FY 2020-21",http://www.finance.gov.pk/dpco/Debt_Bulletin_June_2021.pdf,http://www.finance.gov.pk/dpco/Debt_Bulletin_June_2021.pdf,1
Kiribati,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"2021 BL, Appendix 5.",http://www.mfed.gov.ki/sites/default/files/FINAL%20RB2021_AS%20APPROVED%20BY%20THE%20MM_03.12.2020.pdf,http://www.mfed.gov.ki/sites/default/files/FINAL%20RB2021_AS%20APPROVED%20BY%20THE%20MM_03.12.2020.pdf,1
Madagascar,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Statistical Debt Bulletin (Table 10),http://www.tresorpublic.mg/?page_id=214&content=temp&type=bsd,http://www.tresorpublic.mg/?page_id=214&content=temp&type=bsd,1
Guinea,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Statistical bulletin (Table 4),https://mef.gov.gn/images/DOCS/BULLETIN-STATISTIQUE-DEUXIEME-TRIMESTRE-2021.pdf,https://mef.gov.gn/images/DOCS/BULLETIN-STATISTIQUE-DEUXIEME-TRIMESTRE-2021.pdf,1
Mozambique,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,See Tables 12-23 of the report,https://www.mef.gov.mz,https://www.mef.gov.mz,1
Benin,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Satistical bulletin (Table 5),https://caa.bj/wp-content/uploads/2021/06/Bulletin-Statistique-de-la-Dette-publique_T1_2021_fr_Version-Finale_pr..pdf,https://caa.bj/wp-content/uploads/2021/06/Bulletin-Statistique-de-la-Dette-publique_T1_2021_fr_Version-Finale_pr..pdf,1
Nicaragua,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Public debt report (Table 5),https://www.bcn.gob.ni/publicaciones/deuda_publica,https://www.bcn.gob.ni/publicaciones/deuda_publica,1
Niger,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Public Debt Report (Table 4),http://www.finances.gouv.ne/index.php/actualites/publications-du-ministere/file/736-rapport-analytique-sur-la-dette-publique-au-titre-de-l-annee-2020,http://www.finances.gouv.ne/index.php/actualites/publications-du-ministere/file/736-rapport-analytique-sur-la-dette-publique-au-titre-de-l-annee-2020,1
Somalia,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Public Debt Report (page 2). Information provided that no new loans have been signed recently,https://mof.gov.so/publication/quartley-public-debt-bulletin-quarter-ii-2021,https://mof.gov.so/publication/quartley-public-debt-bulletin-quarter-ii-2021,1
Zimbabwe,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Public Debt Bulletin (Table 6),http://www.zimtreasury.gov.zw/index.php?option=com_phocadownload&view=category&id=63:debt-management&Itemid=759,http://www.zimtreasury.gov.zw/index.php?option=com_phocadownload&view=category&id=63:debt-management&Itemid=759,1
Malawi,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Mid-Year Public Debt Report (Annex 1),https://www.finance.gov.mw/index.php/our-documents/debt-aid?limitstart=0,https://www.finance.gov.mw/index.php/our-documents/debt-aid?limitstart=0,1
Kosovo,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Full information provided in the Annual Bulletin 2019 on Public Debt (page 12 and Annex 2),https://mf.rks-gov.net/desk/inc/media/46BF6C74-32C4-4483-A149-6391F1E06F0D.pdf,https://mf.rks-gov.net/desk/inc/media/46BF6C74-32C4-4483-A149-6391F1E06F0D.pdf,1
Ethiopia,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Debt Statistical Bulletin (Tables 12-13),https://www.mofed.gov.et/media/filer_public/ee/64/ee64e21c-9b90-481d-ae05-2b9ba1684f65/public_sector_debt_statistical_bulletin_no_38_2016-17__-_2020-21.pdf,https://www.mofed.gov.et/media/filer_public/ee/64/ee64e21c-9b90-481d-ae05-2b9ba1684f65/public_sector_debt_statistical_bulletin_no_38_2016-17__-_2020-21.pdf,1
Chad,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Debt Statistical Bulletin (Table 9),https://finances.gouv.td/index.php/component/k2/item/627-bulletins-statistiques-de-la-dette-n-4-2020,https://finances.gouv.td/index.php/component/k2/item/627-bulletins-statistiques-de-la-dette-n-4-2020,1
Sierra Leone,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Debt bulletin (Tables 6a and 6b),https://mof.gov.sl/documents/public-debt-bullletin-fy-2020/,https://mof.gov.sl/documents/public-debt-bullletin-fy-2020/,1
Burkina Faso,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Bulletin (Table 9),https://www.dgb.gov.bf/index.php?option=com_edocman&view=document&id=1760,https://www.dgb.gov.bf/index.php?option=com_edocman&view=document&id=1760,1
"Congo, Rep.",1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Annual Debt Report (Table 3),https://www.finances.gouv.cg/fr/documentation?keys=&term_node_tid_depth=111&field_document_date_value%5Bmin%5D%5Bdate%5D=&field_document_date_value%5Bmax%5D%5Bdate%5D=,https://www.finances.gouv.cg/fr/documentation?keys=&term_node_tid_depth=111&field_document_date_value%5Bmin%5D%5Bdate%5D=&field_document_date_value%5Bmax%5D%5Bdate%5D=,1
Tuvalu,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Annual Debt Report (page 4). Information provided that no new loans have been signed recently,https://mfed.tv/wp-content/uploads/2021/10/TuvaluPublicDebt_Sept2021_Bulletin_FINAL.pdf,https://mfed.tv/wp-content/uploads/2021/10/TuvaluPublicDebt_Sept2021_Bulletin_FINAL.pdf,1
Kiribati,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,2021 BL (See Annex 5 (a)),http://www.mfed.gov.ki/sites/default/files/FINAL%20RB2021_AS%20APPROVED%20BY%20THE%20MM_03.12.2020.pdf,http://www.mfed.gov.ki/sites/default/files/FINAL%20RB2021_AS%20APPROVED%20BY%20THE%20MM_03.12.2020.pdf,1
Samoa,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full, contracting of new loans by the CG is discussed in the Public Debt Bulletin. New IMF loan is reported in the CB Annual Report,2 links: https://www.mof.gov.ws/services/aid-coordination-debt-management/quarterly-debt-bulletin/ AND https://www.cbs.gov.ws/assets/Uploads/DMS-9/9171Annual-Report-2019-2020.pdf,https://www.mof.gov.ws/services/aid-coordination-debt-management/quarterly-debt-bulletin/,1
Guyana,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,Sectorial coverage includes CG debt. LG debt is not expected. Direct non-guaranteed SOE debt is not reported,https://finance.gov.gy/public-debt-annual-report-2020-the-cooperative-republic-of-guyana,https://finance.gov.gy/public-debt-annual-report-2020-the-cooperative-republic-of-guyana,1
Kosovo,1. Public Debt Reporting,Sectorial coverage,Full coverage,4. Full,LG and non-guaranteed SOE debt is not expected,https://mf.rks-gov.net/desk/inc/media/46BF6C74-32C4-4483-A149-6391F1E06F0D.pdf,https://mf.rks-gov.net/desk/inc/media/46BF6C74-32C4-4483-A149-6391F1E06F0D.pdf,1
Bhutan,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://www.mof.gov.bt/wp-content/uploads/2021/05/BUDGET-REPORT-FY-2021-22_ENGLISH.pdf,https://www.mof.gov.bt/wp-content/uploads/2021/05/BUDGET-REPORT-FY-2021-22_ENGLISH.pdf,1
Kosovo,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://mf.rks-gov.net/desk/inc/media/46BF6C74-32C4-4483-A149-6391F1E06F0D.pdf,https://mf.rks-gov.net/desk/inc/media/46BF6C74-32C4-4483-A149-6391F1E06F0D.pdf,1
Bhutan,1. Public Debt Reporting,Sectorial coverage,Full coverage,4. Full,Direct LG debt is not expected. Debt contracted by SOEs is reported,https://www.mof.gov.bt/wp-content/uploads/2021/05/BUDGET-REPORT-FY-2021-22_ENGLISH.pdf,https://www.mof.gov.bt/wp-content/uploads/2021/05/BUDGET-REPORT-FY-2021-22_ENGLISH.pdf,1
Kyrgyz Republic,1. Public Debt Reporting,Sectorial coverage,Full coverage,4. Full,Coverage limited to CG debt. Direct LG and non-guaranteed SOE debt is not expected,3 links: http://www.minfin.gov.kg/ru/novosti/mamlekettik-karyz/tyshky-karyz AND http://www.minfin.gov.kg/userfiles/ufiles/obsluzhivanie_za_yanvariyul_2021_po_gos._dolgu.pdfz AND http://www.minfin.gov.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga,http://www.minfin.gov.kg/ru/novosti/mamlekettik-karyz/tyshky-karyz,1
Tuvalu,1. Public Debt Reporting,Sectorial coverage,Full coverage,4. Full,Coverage includes GG and SOE debt (incl. non-guaranteed debt),https://mfed.tv/wp-content/uploads/2021/10/TuvaluPublicDebt_Sept2021_Bulletin_FINAL.pdf,https://mfed.tv/wp-content/uploads/2021/10/TuvaluPublicDebt_Sept2021_Bulletin_FINAL.pdf,1
Honduras,1. Public Debt Reporting,Sectorial coverage,Full coverage,4. Full,Coverage includes GG and SOE debt (incl. non-guaranteed debt; Debt Policy Report),http://www.sefin.gob.hn/informes/,http://www.sefin.gob.hn/informes/,1
Rwanda,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"Coverage includes external, domestic and guaranteed debt (assuming no government guarantees have been provided to the private sector)",https://www.minecofin.gov.rw/1/publications/reports?tx_filelist_filelist%5Baction%5D=list&tx_filelist_filelist%5Bcontroller%5D=File&tx_filelist_filelist%5Bpath%5D=%2Fuser_upload%2FMinecofin%2FPublications%2FREPORTS%2FChief_Economist%2FDebt_Management%2F&cHash=c740c1b388f07e75324a50971292037b,https://www.minecofin.gov.rw/1/publications/reports?tx_filelist_filelist%5Baction%5D=list&tx_filelist_filelist%5Bcontroller%5D=File&tx_filelist_filelist%5Bpath%5D=%2Fuser_upload%2FMinecofin%2FPublications%2FREPORTS%2FChief_Economist%2FDebt_Management%2F&cHash=c740c1b388f07e75324a50971292037b,1
Côte d'Ivoire,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"Coverage includes external, domestic and guaranteed debt",https://www.tresor.gouv.ci/tres/wp-content/uploads/2021/06/Bulletin-Statistique-de-la-Dette-Publique-T1-2021.pdf,https://www.tresor.gouv.ci/tres/wp-content/uploads/2021/06/Bulletin-Statistique-de-la-Dette-Publique-T1-2021.pdf,1
Kenya,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"Coverage includes external, domestic and guaranteed debt",https://www.treasury.go.ke/monthly-bulletins/,https://www.treasury.go.ke/monthly-bulletins/,1
Ghana,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"Coverage includes external, domestic and guaranteed debt",https://www.mofep.gov.gh/publications/economic-reports,https://www.mofep.gov.gh/publications/economic-reports,1
Ethiopia,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"Coverage includes external, domestic and guaranteed debt",https://www.mofed.gov.et/media/filer_public/ee/64/ee64e21c-9b90-481d-ae05-2b9ba1684f65/public_sector_debt_statistical_bulletin_no_38_2016-17__-_2020-21.pdf,https://www.mofed.gov.et/media/filer_public/ee/64/ee64e21c-9b90-481d-ae05-2b9ba1684f65/public_sector_debt_statistical_bulletin_no_38_2016-17__-_2020-21.pdf,1
Zambia,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"Coverage includes external, domestic and guaranteed debt",https://www.mof.gov.zm/?wpfb_dl=352,https://www.mof.gov.zm/?wpfb_dl=352,1
Samoa,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"Coverage includes external, domestic and guaranteed debt",https://www.mof.gov.ws/services/aid-coordination-debt-management/quarterly-debt-bulletin/,https://www.mof.gov.ws/services/aid-coordination-debt-management/quarterly-debt-bulletin/,1
