Country,Dimension ,Indicator,Assessment,Criteria,Explanation,Source,URL,size
Liberia,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Management Report, Fourth Quarter 2019/2020 (June 2020)",https://www.mfdp.gov.lr/index.php/economic-management-reports/debt-management-unit/quarterly-debt-and-management-report,https://www.mfdp.gov.lr/index.php/economic-management-reports/debt-management-unit/quarterly-debt-and-management-report,1
Kenya,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Management Report, 2019/2020",https://treasury.go.ke/publications/pdmo/category/157-annual-debt-management.html,https://treasury.go.ke/publications/pdmo/category/157-annual-debt-management.html,1
Maldives,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Bulletin, December 2019",http://www.finance.gov.mv/public-debt-bulletin,http://www.finance.gov.mv/public-debt-bulletin,1
Lao PDR,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Government Finance Statistics Annual Report, 2019",https://www.mof.gov.la/index.php/en/publications-and-statistics/,https://www.mof.gov.la/index.php/en/publications-and-statistics/,1
Rwanda,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Excel File (Debt_Stock_End__2019-Final.xlsx),http://www.minecofin.gov.rw/index.php?id=65,http://www.minecofin.gov.rw/index.php?id=65,1
Solomon Islands,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Debt Report (June 2020),https://solomons.gov.sb/wp-content/uploads/2020/08/Solomon-Islands-Debt-Report-as-at-30-06-2020.pdf,https://solomons.gov.sb/wp-content/uploads/2020/08/Solomon-Islands-Debt-Report-as-at-30-06-2020.pdf,1
Fiji,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Debt Bulletin of April 2020,http://www.economy.gov.fj/images/Resources/DebtReport/Debt-Report---Q3-30-April-2020-final.pdf,http://www.economy.gov.fj/images/Resources/DebtReport/Debt-Report---Q3-30-April-2020-final.pdf,1
Tonga,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Budget Statement, 2020-2021. It is noteworthy that annual and quarterly debt bulletins seem to be discontinued",2 links: http://www.finance.gov.to/sites/default/files/2020-09/Budget%20Statement%202020-2021_0.pdf AND http://www.finance.gov.to/index.php/debt,http://www.finance.gov.to/sites/default/files/2020-09/Budget%20Statement%202020-2021_0.pdf,1
Papua New Guinea,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Budget Outcome Report, 2019",https://www.treasury.gov.pg/html/national_budget/files/2013/budget_documents/2019%20FBO%20Report.pdf,https://www.treasury.gov.pg/html/national_budget/files/2013/budget_documents/2019%20FBO%20Report.pdf,1
Bhutan,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Budget Law 2020-2021,https://www.mof.gov.bt/wp-content/uploads/2020/06/BUDGET2020-21.pdf,https://www.mof.gov.bt/wp-content/uploads/2020/06/BUDGET2020-21.pdf,1
Mauritania,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Annual Report of the CB, 2019",https://www.bcm.mr/IMG/pdf/rapport_anuel_2019.fr.pdf,https://www.bcm.mr/IMG/pdf/rapport_anuel_2019.fr.pdf,1
Djibouti,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Annual Report of the CB for 2019,https://banque-centrale.dj/wp-content/uploads/2020/09/BCD-Rapport-Annuel-2019.pdf,https://banque-centrale.dj/wp-content/uploads/2020/09/BCD-Rapport-Annuel-2019.pdf,1
Togo,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Annual Public Debt Report, December 31 2019",http://www.togoreforme.com/fr/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=84,http://www.togoreforme.com/fr/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=84,1
Malawi,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Annual Public Debt Report, 2019/2020",https://www.finance.gov.mw,https://www.finance.gov.mw,1
Ghana,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Annual Public Debt Report for 2019,https://www.mofep.gov.gh/sites/default/files/reports/economic/2019-Annual-Public-Debt-Report.pdf,https://www.mofep.gov.gh/sites/default/files/reports/economic/2019-Annual-Public-Debt-Report.pdf,1
Pakistan,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Annual Debt Review & Public Debt Bulletin, FY 2019-20",http://www.finance.gov.pk/dpco/Annual_Debt_Review_Debt_Bulletin_Jun_2020.pdf,http://www.finance.gov.pk/dpco/Annual_Debt_Review_Debt_Bulletin_Jun_2020.pdf,1
Kosovo,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Annual Bulletin 2019 on Public Debt,https://mf.rks-gov.net/desk/inc/media/FA8401C2-A349-4490-B3AA-829465182EEB.pdf,https://mf.rks-gov.net/desk/inc/media/FA8401C2-A349-4490-B3AA-829465182EEB.pdf,1
Guyana,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"""End of Year Outcome Report,"" 2019. The publication of dedicated public debt reports seems to be discontinued: the last Quarterly Public Debt Report is the June 2019, and the last Public Debt Annual Report is that of 2018. The CB website is not functional at present (http://www.bankofguyana.org)",3 links: https://finance.gov.gy/2020/07/ AND https://finance.gov.gy/publications/public-debt-reports/annual-reports-public-debt-reports/ AND https://finance.gov.gy/publications/public-debt-reports/quarterly-statistics/,https://finance.gov.gy/2020/07/,1
Guinea,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,"Full information provided in the Statistical Public Debt Bulletin, 2020 Q1 (page 15)",http://dndapd.mef.gov.gn/images/Documents/BULLETIN_PREMIER_TRIMESTRE_2020.pdf,http://dndapd.mef.gov.gn/images/Documents/BULLETIN_PREMIER_TRIMESTRE_2020.pdf,1
Benin,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,"Full information provided in the statistical bulletin (Table 4, page 21)",https://caa.bj/category/publications-et-rapports/bulletins-statistiques-sur-la-dette/,https://caa.bj/category/publications-et-rapports/bulletins-statistiques-sur-la-dette/,1
Uganda,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,"Full information provided in the Report on Public Debt, Guarantees, Other Financial Liabilities and Grants for FY 2019/20 (Tables 5.1 and 5.4, pages 17 and 21)",https://www.finance.go.ug/sites/default/files/Publications/Public%20Debt%20Report%20MTDS%2019-20.pdf,https://www.finance.go.ug/sites/default/files/Publications/Public%20Debt%20Report%20MTDS%2019-20.pdf,1
"Gambia, The",1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Full information provided in the quarterly bulletins (page 4),http://www.mofea.gm/directorates/loans-and-debt-management,http://www.mofea.gm/directorates/loans-and-debt-management,1
Ethiopia,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Full information provided in the Public Sector Debt Statistical Bulletin of August 2020 (Tables 12-13),http://www.mofed.gov.et/documents/10182/13981/Public_Sector_Debt_Statistical_Bulletin_No_34+%282015-16+++-++++2019-20%29.pdf/9c7b4810-6a48-41f9-a63c-02fe661e4b15,http://www.mofed.gov.et/documents/10182/13981/Public_Sector_Debt_Statistical_Bulletin_No_34+%282015-16+++-++++2019-20%29.pdf/9c7b4810-6a48-41f9-a63c-02fe661e4b15,1
Nicaragua,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,"Full information provided in the Public Debt Report, Q2 2020, October 2020 (page 3)",https://www.bcn.gob.ni/publicaciones/periodicidad/trimestral/deuda/index.php,https://www.bcn.gob.ni/publicaciones/periodicidad/trimestral/deuda/index.php,1
Mozambique,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,"Full information provided in the Public Debt Report 2019 (Table 12, page 28)",https://www.mef.gov.mz/index.php/documentos,https://www.mef.gov.mz/index.php/documentos,1
Honduras,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,"Full information provided in the Presentation For Investors for loas signed in 2019  (page 17). Financial terms are not detailed, but concessionality rates are indicated.",http://www.sefin.gob.hn/politicas-y-estrategias/,http://www.sefin.gob.hn/politicas-y-estrategias/,1
Togo,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,"Full information provided in the Annual Report, 2019 (Table 2, page 10)",http://www.togoreforme.com/fr/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=84,http://www.togoreforme.com/fr/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=84,1
Malawi,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,"Full information provided in the Annual Public Debt Report, 2019/2020 (pages 11 & 27-29)",No source,No source,1
Kosovo,1. Public Debt Reporting,Information on recent contracted loans,Full information,4. Full,Full information provided in the Annual Bulletin 2019 on Public Debt (page 12 and Annex 2),No source,No source,1
Cambodia,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"The statistical bulletin provides with a definition of public-sector debt, which includes guarantees (page 7)",https://gdicdm.mef.gov.kh/en/2020/09/15/10193.html,https://gdicdm.mef.gov.kh/en/2020/09/15/10193.html,1
Côte d'Ivoire,1. Public Debt Reporting,Sectorial coverage,Full coverage,4. Full,The quarterly bulletin provides with CG debt. The 2020 BL provides with LG and SOE debts,2 links: https://www.tresor.gouv.ci/tres/fr_FR/bulletins-statistiques-de-la-dette-publique/ AND http://budget.gouv.ci/uploads/docs/ANNEXE_13_DECLARATION_SUR_LES_RISQUES_BUDGETAIRES_2020_2022.pdf,https://www.tresor.gouv.ci/tres/fr_FR/bulletins-statistiques-de-la-dette-publique/,1
Timor-Leste,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,Public borrowing is limited to external sources. There is currently no domestic debt and no guaranteed debt,https://www.mof.gov.tl/2021-state-budget-book-1/?lang=en,https://www.mof.gov.tl/2021-state-budget-book-1/?lang=en,1
Togo,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,No guaranteed debt in the portfolio,http://www.togoreforme.com/fr/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=84,http://www.togoreforme.com/fr/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=84,1
Tonga,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,No guaranteed debt in the portfolio,http://www.finance.gov.to/sites/default/files/2020-09/Budget%20Statement%202020-2021_0.pdf,http://www.finance.gov.to/sites/default/files/2020-09/Budget%20Statement%202020-2021_0.pdf,1
Kyrgyz Republic,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,No guaranteed debt in the portfolio,3 links: http://www.minfin.gov.kg/ru/novosti/mamlekettik-karyz/tyshky-karyz AND http://www.minfin.gov.kg/ru/novosti/mamlekettik-karyz/ichki-karyz AND http://www.minfin.gov.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga,http://www.minfin.gov.kg/ru/novosti/mamlekettik-karyz/tyshky-karyz,1
Timor-Leste,1. Public Debt Reporting,Sectorial coverage,Full coverage,4. Full,Neither LG nor SOE debt is expected. SOE can only obtain financing via on-lending from the MoF,https://www.mof.gov.tl/2021-state-budget-book-1/?lang=en,https://www.mof.gov.tl/2021-state-budget-book-1/?lang=en,1
Benin,1. Public Debt Reporting,Sectorial coverage,Full coverage,4. Full,LG debt is not expected. Non-guaranteed SOE debt is reported,https://caa.bj/category/publications-et-rapports/bulletins-statistiques-sur-la-dette/,https://caa.bj/category/publications-et-rapports/bulletins-statistiques-sur-la-dette/,1
Kosovo,1. Public Debt Reporting,Sectorial coverage,Full coverage,4. Full,LG and non-guaranteed SOE debt is not expected,https://mf.rks-gov.net/desk/inc/media/FA8401C2-A349-4490-B3AA-829465182EEB.pdf,https://mf.rks-gov.net/desk/inc/media/FA8401C2-A349-4490-B3AA-829465182EEB.pdf,1
Kyrgyz Republic,1. Public Debt Reporting,Sectorial coverage,Full coverage,4. Full,LG and non-guaranteed SOE debt is not expected,3 links: http://www.minfin.gov.kg/ru/novosti/mamlekettik-karyz/tyshky-karyz AND http://www.minfin.gov.kg/ru/novosti/mamlekettik-karyz/ichki-karyz AND http://www.minfin.gov.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga,http://www.minfin.gov.kg/ru/novosti/mamlekettik-karyz/tyshky-karyz,1
Bangladesh,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,It is unclear whether guaranteed debt is included in the coverage of public debt,2 sources of information: https://www.bb.org.bd/pub/publictn.php# AND https://www.bb.org.bd/pub/publictn.php,https://www.bb.org.bd/pub/publictn.php#,1
Malawi,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",No source,No source,1
Ghana,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://www.mofep.gov.gh/sites/default/files/reports/economic/2019-Annual-Public-Debt-Report.pdf,https://www.mofep.gov.gh/sites/default/files/reports/economic/2019-Annual-Public-Debt-Report.pdf,1
Samoa,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://www.mof.gov.ws/wp-content/uploads/2020/05/QDB-Mar-2020-Final.pdf,https://www.mof.gov.ws/wp-content/uploads/2020/05/QDB-Mar-2020-Final.pdf,1
Bhutan,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://www.mof.gov.bt/wp-content/uploads/2020/06/BUDGET2020-21.pdf,https://www.mof.gov.bt/wp-content/uploads/2020/06/BUDGET2020-21.pdf,1
Liberia,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://www.mfdp.gov.lr/index.php/economic-management-reports/debt-management-unit/quarterly-debt-and-management-report,https://www.mfdp.gov.lr/index.php/economic-management-reports/debt-management-unit/quarterly-debt-and-management-report,1
Cabo Verde,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://www.mf.gov.cv/web/dgt/divida-publica/-/document_library/OFFmm6jRxPME/view/1301047?_com_liferay_document_library_web_portlet_DLPortlet_INSTANCE_OFFmm6jRxPME_redirect=https%3A%2F%2Fwww.mf.gov.cv%2Fweb%2Fdgt%2Fdivida-publica%3Fp_p_id%3Dcom_liferay_document_library_web_portlet_DLPortlet_INSTANCE_OFFmm6jRxPME%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview,https://www.mf.gov.cv/web/dgt/divida-publica/-/document_library/OFFmm6jRxPME/view/1301047?_com_liferay_document_library_web_portlet_DLPortlet_INSTANCE_OFFmm6jRxPME_redirect=https%3A%2F%2Fwww.mf.gov.cv%2Fweb%2Fdgt%2Fdivida-publica%3Fp_p_id%3Dcom_liferay_document_library_web_portlet_DLPortlet_INSTANCE_OFFmm6jRxPME%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview,1
Mozambique,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://www.mef.gov.mz/index.php/documentos,https://www.mef.gov.mz/index.php/documentos,1
Uganda,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://www.finance.go.ug/sites/default/files/Publications/Public%20Debt%20Report%20MTDS%2019-20.pdf,https://www.finance.go.ug/sites/default/files/Publications/Public%20Debt%20Report%20MTDS%2019-20.pdf,1
São Tomé and Principe,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://www.financas.gov.st/index.php/publicacoes/documentos/category/147-publicacoes,https://www.financas.gov.st/index.php/publicacoes/documentos/category/147-publicacoes,1
Kenya,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://treasury.go.ke/publications/pdmo/category/157-annual-debt-management.html,https://treasury.go.ke/publications/pdmo/category/157-annual-debt-management.html,1
Kosovo,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://mf.rks-gov.net/desk/inc/media/FA8401C2-A349-4490-B3AA-829465182EEB.pdf,https://mf.rks-gov.net/desk/inc/media/FA8401C2-A349-4490-B3AA-829465182EEB.pdf,1
Moldova,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://mf.gov.md/sites/default/files/Raport%20Q2%20semestrul%202%20a%202020.pdf,https://mf.gov.md/sites/default/files/Raport%20Q2%20semestrul%202%20a%202020.pdf,1
Benin,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",https://caa.bj/category/publications-et-rapports/bulletins-statistiques-sur-la-dette/,https://caa.bj/category/publications-et-rapports/bulletins-statistiques-sur-la-dette/,1
Madagascar,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",http://www.tresorpublic.mg/?page_id=214&content=temp&type=bsd,http://www.tresorpublic.mg/?page_id=214&content=temp&type=bsd,1
Ethiopia,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",http://www.mofed.gov.et/documents/10182/13981/Public_Sector_Debt_Statistical_Bulletin_No_34+%282015-16+++-++++2019-20%29.pdf/9c7b4810-6a48-41f9-a63c-02fe661e4b15,http://www.mofed.gov.et/documents/10182/13981/Public_Sector_Debt_Statistical_Bulletin_No_34+%282015-16+++-++++2019-20%29.pdf/9c7b4810-6a48-41f9-a63c-02fe661e4b15,1
"Gambia, The",1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",http://www.mofea.gm/directorates/loans-and-debt-management,http://www.mofea.gm/directorates/loans-and-debt-management,1
Rwanda,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",http://www.minecofin.gov.rw/index.php?id=65,http://www.minecofin.gov.rw/index.php?id=65,1
Pakistan,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",http://www.finance.gov.pk/dpco/Annual_Debt_Review_Debt_Bulletin_Jun_2020.pdf,http://www.finance.gov.pk/dpco/Annual_Debt_Review_Debt_Bulletin_Jun_2020.pdf,1
Maldives,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",http://www.finance.gov.mv/public-debt-bulletin,http://www.finance.gov.mv/public-debt-bulletin,1
Dominica,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",http://www.finance.gov.dm/images/documents/estimates/2020-2021_budget_estimates.pdf,http://www.finance.gov.dm/images/documents/estimates/2020-2021_budget_estimates.pdf,1
Fiji,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",http://www.economy.gov.fj/images/Resources/DebtReport/Debt-Report---Q3-30-April-2020-final.pdf,http://www.economy.gov.fj/images/Resources/DebtReport/Debt-Report---Q3-30-April-2020-final.pdf,1
Guinea,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",http://dndapd.mef.gov.gn/images/Documents/BULLETIN_PREMIER_TRIMESTRE_2020.pdf,http://dndapd.mef.gov.gn/images/Documents/BULLETIN_PREMIER_TRIMESTRE_2020.pdf,1
Uzbekistan,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",http://dmo.mf.uz/wp-content/uploads/2020/04/InvCall_Covid-19_Impacts.pdf,http://dmo.mf.uz/wp-content/uploads/2020/04/InvCall_Covid-19_Impacts.pdf,1
Côte d'Ivoire,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",2 links: https://www.tresor.gouv.ci/tres/fr_FR/bulletins-statistiques-de-la-dette-publique/ AND http://budget.gouv.ci/uploads/docs/ANNEXE_13_DECLARATION_SUR_LES_RISQUES_BUDGETAIRES_2020_2022.pdf,https://www.tresor.gouv.ci/tres/fr_FR/bulletins-statistiques-de-la-dette-publique/,1
Zambia,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"External, domestic and guaranteed debt",2 links: https://www.mof.gov.zm/?wpfb_dl=264 AND https://www.mof.gov.zm/?wpfb_dl=283,https://www.mof.gov.zm/?wpfb_dl=264,1
Mali,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,External and domestic debt. There is no guaranteed debt,https://www.finances.gouv.ml/presse/loi-de-finances-2020,https://www.finances.gouv.ml/presse/loi-de-finances-2020,1
Nicaragua,1. Public Debt Reporting,Instrument coverage,Full coverage,4. Full,"Data cover external and domestic debt. Guaranteed debt granted to SOEs is integrated in total public sector, while guarantees granted to the private sector is itemized separately",https://www.bcn.gob.ni/publicaciones/periodicidad/trimestral/deuda/index.php,https://www.bcn.gob.ni/publicaciones/periodicidad/trimestral/deuda/index.php,1
Rwanda,1. Public Debt Reporting,Sectorial coverage,Full coverage,4. Full,Coverage includes CG and SOE debt. LG debt is not expected (Fiscal Risk Statement 2020),http://www.minecofin.gov.rw/index.php?id=65,http://www.minecofin.gov.rw/index.php?id=65,1
