"","STRUCTURE","STRUCTURE_ID","STRUCTURE_NAME","ACTION","FREQ","Frequency.of.observation","REF_AREA","Reference.area","MEASURE","Measure","UNIT_MEASURE","Unit.of.measure","VERSION","Version","TIME_PERIOD","Time.period","OBS_VALUE","Observation.value","CONF_STATUS","Confidentiality.status","DECIMALS","Decimals","OBS_STATUS","Observation.status","UNIT_MULT","Unit.multiplier"
"16","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","ESP","Spain","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,3.5476191,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"17","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","SWE","Sweden","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,2.6369047,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"18","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","CHE","Switzerland","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,1.4285715,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"19","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","GBR","United Kingdom","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,1.3452381,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"20","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","USA","United States","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,0.09333333,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"21","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","AUS","Australia","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,1.1666666,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"22","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","AUT","Austria","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,2.6666667,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"23","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","BEL","Belgium","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,1.5555556,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"24","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","CAN","Canada","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,0.58730161,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"25","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","DNK","Denmark","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,1.5158731,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"26","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","FIN","Finland","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,2.7023809,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"27","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","FRA","France","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,2.8492064,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"28","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","DEU","Germany","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,2.5,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"29","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","GRC","Greece","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,2.7936509,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"30","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","IRL","Ireland","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,1.2698413,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"31","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","ITA","Italy","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,3.015873,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"32","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","JPN","Japan","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,1.7023809,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"33","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","NLD","Netherlands","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,3.3730159,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"34","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","NOR","Norway","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,2.3333333,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"35","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","PRT","Portugal","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,5,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"36","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","ESP","Spain","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,3.5476191,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"37","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","SWE","Sweden","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,2.6369047,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"38","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","CHE","Switzerland","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,1.4285715,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"39","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","GBR","United Kingdom","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,1.3452381,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"40","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","USA","United States","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1986,NA,0.09333333,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"41","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","AUS","Australia","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,1.1666666,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"42","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","AUT","Austria","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,2.6666667,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"43","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","BEL","Belgium","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,1.5555556,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"44","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","CAN","Canada","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,0.58730161,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"45","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","DNK","Denmark","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,1.5158731,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"46","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","FIN","Finland","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,2.7023809,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"47","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","FRA","France","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,2.5992064,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"48","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","DEU","Germany","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,2.5,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"49","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","GRC","Greece","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,2.7936509,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"50","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","IRL","Ireland","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,1.2698413,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"51","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","ITA","Italy","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,3.015873,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"52","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","JPN","Japan","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,1.7023809,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"53","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","NLD","Netherlands","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,3.3730159,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"54","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","NOR","Norway","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,2.3333333,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"55","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","PRT","Portugal","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,5,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"56","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","ESP","Spain","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,3.5476191,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"57","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","SWE","Sweden","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,2.6369047,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"58","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","CHE","Switzerland","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,1.4285715,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"59","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","GBR","United Kingdom","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,1.3452381,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"60","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","USA","United States","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1987,NA,0.09333333,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"61","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","AUS","Australia","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,1.1666666,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"62","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","AUT","Austria","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,2.6666667,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"63","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","BEL","Belgium","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,1.5555556,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"64","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","CAN","Canada","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,0.58730161,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"65","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","DNK","Denmark","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,1.5158731,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"66","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","FIN","Finland","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,2.7023809,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"67","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","FRA","France","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,2.5992064,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"68","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","DEU","Germany","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,2.5,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"69","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","GRC","Greece","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,2.7936509,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"70","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","IRL","Ireland","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,1.2698413,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"71","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","ITA","Italy","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,3.015873,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"72","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","JPN","Japan","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,1.7023809,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"73","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","NLD","Netherlands","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,3.3888888,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"74","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","NOR","Norway","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,2.3333333,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"75","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","PRT","Portugal","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,5,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"76","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","ESP","Spain","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1988,NA,3.5476191,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
